product_key,name,slug,category_slug,part_brand_slug,product_type,short_description,description,attr:material,attr:brand,attr:usage-application,attr:laser-type,attr:color,attr:country-of-origin,attr:application,attr:focal-length,attr:diameter,attr:lens-type,attr:laser-wavelength,attr:shape,attr:power-handling,attr:coating,attr:type,attr:packaging-type,attr:marking-speed-capacity,attr:nozzle-diameter,attr:size,attr:model-name-number,attr:design-method,attr:height,attr:marking-depth,attr:corrosion-resistance,attr:marking-speed,attr:thickness,attr:assist-gas,attr:mount-type,attr:outer-diameter,attr:max-laser-power,attr:cooling-method,attr:nozzle-type,attr:ring-type,attr:process-type,attr:laser-power,attr:uses,attr:inner-diameter,attr:collimation-lens,attr:surface-finish,attr:pack-size,attr:offering-laser,attr:ceramic-material,attr:usage,attr:monitoring,attr:surface-finishing,attr:thread-size,attr:valve-size,attr:mounting-type,attr:part-type,attr:wall-thickness,attr:ring-height,attr:max-service-temp,attr:finish,attr:hardness,attr:copper-grade,attr:tip-type,attr:sterile,attr:bud-color,attr:packing-type,attr:voltage,attr:automation-grade,attr:feature,attr:parts,attr:leak-proof,attr:features,attr:finishing-type,attr:weight,attr:stick-material,attr:stick-length,attr:mounting-interface,attr:frame-material,attr:light-source-type,attr:support-laser-power,attr:max-cutting-thickness,attr:job-work-basis,attr:usage-industry,attr:service-location,attr:frequency,attr:temperature,attr:power,attr:part-number,attr:aperture,attr:form,attr:pack-volume,attr:tissue-type,attr:tissue-material,attr:country-of-origin-2,attr:gender,attr:is-it-reusable,attr:head-material,attr:total-length,attr:handle-material,attr:output-power,attr:cable-conductor,attr:insulation-material,attr:waterproof,attr:bore-size,attr:connection-type,attr:rubber-material,attr:series-no,attr:anode-dissipation,attr:anode-voltage,attr:available-interfaces,attr:cooling,attr:filter-media,attr:construction,attr:medium-material,attr:efficiency,attr:filter-class,attr:filtration-grade,attr:location,attr:production-capacity,attr:series,attr:power-resolution,attr:media,attr:protection-use,attr:fit-type,attr:inner-size,attr:finish-type,attr:beam-emission-shape,attr:ar-coated,attr:service-material,attr:machine-type,attr:operation-type,attr:max-sheet-size,attr:application-industry,attr:material-supply,attr:file-format,attr:pipe-material,attr:max-pipe-diameter,attr:pipe-shape,attr:cutting-type,attr:pipe-length-handling,attr:compressor-type,attr:cooling-capacity,attr:deep-filtration,attr:pressure,attr:max-flow-rate,attr:number-of-stages,attr:mounting,attr:mirror-type,attr:reflectivity,attr:working-temperature,attr:frame-type,attr:lens-material,attr:base-solvent,attr:formulation-type,attr:grade-standard,attr:pattern,attr:use,attr:packaging-size,attr:sheet-size,attr:by-nozzle-double,attr:by-nozzle-hd,attr:torch-model,attr:current-rating,attr:nozzle-bore,attr:consumable-type,attr:torch-type,attr:vehicle-model,attr:size-inch,attr:length,attr:valve,attr:quantity-per-pack,attr:pitch-series,attr:structure,attr:outer-measurement,attr:anti-fog,attr:head-shape,attr:sterility,attr:tip-material,attr:phone-brand,attr:center-wavelength,attr:modulation-type,attr:motor-voltage,attr:motor-current,attr:control-method,attr:feedback-type,attr:input-control-signal,attr:protection-features,attr:braking-type,attr:brand-name,attr:rf-interface,attr:impedance,attr:maximum-frequency,attr:pin-type,attr:mounting-style,attr:power-rating,attr:control-interface,attr:power-supply,attr:cooling-type,attr:communication,attr:tool-type,attr:compatible-power,attr:compatible-brand,attr:nozzle-outlet-size,attr:gas-type,attr:body-material,attr:capacity,attr:max-sheet-thickness,attr:max-bending-length,attr:bending-accuracy,attr:bending-type,attr:material-grade,attr:supported-format,attr:industry-served,attr:service-mode,attr:aperture-range,attr:focus,attr:cleaner-type,attr:lens-type-compatibility,attr:volume
COTTON-SWAB-MEDIUM-L-100MM,Cotton Swab - Medium - L - 100mm,cotton-swab-medium-l-100mm,cotton-swabs,,SPARE_PART,,,,,,,,,,,,,,,,,,Box,,,,,,,,,,,,,,,,,,,,,,,,50 Sticks,,,,,,,,,,,,,,,,Single Tip,Non Sterile,Blue,,,,,,,,,,,7 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RAYTOOLS-FIBER-LASER-CUTTING-HEAD,RayTools Fiber Laser Cutting Head,raytools-fiber-laser-cutting-head,cutting-head,,SPARE_PART,,,,,,Fiber Laser,,,,100 mm,,,,,,,,,,,,,,,,,,,Oxygen,,,1 kW,Water Cooled,Single Nozzle,,Welding,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOCI-BLT421S-CUTTING-HEAD,BOCI BLT421s Cutting Head,boci-blt421s-cutting-head,cutting-head,,SPARE_PART,,,,,,Fiber Laser,,,,100 mm,,,,,,,,,,,,,,,,,,,Oxygen,,,15 kW,Water Cooled,Single Nozzle,,Cutting,,,,Yes,,,,,,Height Sensing,,,,,,,,,,,,,,,,,,,,,,,,,,Trumpf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RAYTOOLS-BM111-CUTTING-HEAD,Raytools BM111 Cutting Head,raytools-bm111-cutting-head,cutting-head,,SPARE_PART,,,,,,Fiber Laser,,,,100 mm,,,,,,,,,,,,,,,,,,,Oxygen,,,1 kW,Air Cooled,Single Nozzle,,Cutting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RAYTOOLS-BM109-CUTTING-HEAD,Raytools BM109 Cutting Head,raytools-bm109-cutting-head,cutting-head,,SPARE_PART,,,,,,Fiber Laser,,,,100 mm,,,,,,,,,,,,,,,,,,,"Nitrogen, Oxygen, Air",,,1 kW,Water Cooled,Single Nozzle,,Cutting,,,,Yes,,,,,,Height Sensing,,,,,,,,,,,,,,,,,,,,,,,,,,Trumpf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOCI-BLT310-LASER-PROCESS-CUTTING-HEAD,BOCI BLT310 Laser Process Cutting Head,boci-blt310-laser-process-cutting-head,cutting-head,,SPARE_PART,,,,,,Fiber Laser,,,,100 mm,,,,,,,,,,,,,,,,,,,Oxygen,,,1 kW,Water Cooled,Single Nozzle,,Cutting,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RAYTOOLS-BM110-CUTTING-HEAD,Raytools BM110 Cutting Head,raytools-bm110-cutting-head,cutting-head,,SPARE_PART,,,,,,CO2 Laser,,,,100 mm,,,,,,,,,,,,,,,,,,,Oxygen,,,1 kW,Water Cooled,Single Nozzle,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RAYTOOLS-BM114-CUTTING-HEAD,Raytools BM114 Cutting Head,raytools-bm114-cutting-head,cutting-head,,SPARE_PART,,,,,,Fiber Laser,,,,100 mm,,,,,,,,,,,,,,,,,,,Nitrogen,,,1 kW,Water Cooled,Single Nozzle,,Cutting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RAYTOOLS-BM06K-CUTTING-HEAD,Raytools BM06K Cutting Head,raytools-bm06k-cutting-head,cutting-head,,SPARE_PART,,,,,,Fiber Laser,,,,100 mm,,,,,,,,,,,,,,,,,,,Oxygen,,,2 kW,Water Cooled,Single Nozzle,,Cutting,,,,Yes,,,,,,Height Sensing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RF-POWER-TRIODE,Rf Power Triode,rf-power-triode,electron-triode-tube,,SPARE_PART,We can provide the Rf Power Triode at a very economical rate all across india for laser cutting machines,We can provide the Rf Power Triode at a very economical rate all across india for laser cutting machines,,,,,,Made in India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20KW,14KV,Frequency upto 120Mhz,Air cooled tube,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FESTO-AIR-FILTER,Festo Air Filter,festo-air-filter,festo-filters,,SPARE_PART,,,,,,,,Made in India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Synthetic Fiber,Panel Filter,"Active Carbon, Synthetic Fiber, Microfiber",High,Pre Filter,Hepa Filter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FIBER-LASER-PROTECTIVE-WINDOW,Fiber Laser Protective Window,fiber-laser-protective-window,fiber-metal-laser-cutting-machine,ii-iv,SPARE_PART,,,Fused Silica,II IV,as per requirement,co2 & fiber,,,,,40mm,,,,,,,,8000 mm/s,,,,,,,,,,,,,,,,,,,,,,,,Hdpe Pipes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,as per requirement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LASER-PROTECTION-WINDOW,Laser Protection Window,laser-protection-window,fiber-metal-laser-cutting-machine,trumpf,SPARE_PART,We can provide Laser Protection window at a very economical rate all across india for laser lenses of cutting machines,We can provide Laser Protection window at a very economical rate all across india for laser lenses of  cutting machines,Fused silica,Trumpf,laser cutting,Fiber Laser,,,,,34mm,,,,,,,,,,,,,,,,6000 mm/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RAYTOOLS-FOCUS-COLLIMATOR-LENS-FOCUS-LENSES,RayTools Focus Collimator Lens Focus Lenses,raytools-focus-collimator-lens-focus-lenses,focus-lenses,,SPARE_PART,,,Fused Silica,,,,,,Cutting,50 mm,,Plano Convex,532 nm,,<50 W,AR 532 nm,,,,,,,,,,,,,,With Mount,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RAYTOOLS-ORIGINAL-COLLIMATOR-FOCUS-LENSES,RayTools Original Collimator Focus Lenses,raytools-original-collimator-focus-lenses,focus-lenses,raytools,SPARE_PART,,,Fused Silica,Raytools,Laser Lens,,,Made in India,,50 mm,,,532 nm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rayrools BM 109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RAYTOOL-BM110-FUSED-SILICA-FOCUS-LENSES,Raytool BM110 Fused Silica Focus Lenses,raytool-bm110-fused-silica-focus-lenses,focus-lenses,,SPARE_PART,,,Fused Silica,,,,,,Cutting,400 mm,,Plano Convex,532 nm,,<50 W,AR 532 nm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RAYTOOL-BM109-FUSED-SILICA-FOCUS-LENSES,Raytool BM109 Fused Silica Focus Lenses,raytool-bm109-fused-silica-focus-lenses,focus-lenses,,SPARE_PART,,,Fused Silica,,,,,,Cutting,50 mm,,Plano Convex,532 nm,,>1000 W,AR 532 nm,,,,,,,,,,,,,,With Mount,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RAYTOOL-BM111-FOCUS-LENSES,Raytool BM111 Focus Lenses,raytool-bm111-focus-lenses,focus-lenses,,SPARE_PART,,,Fused Silica,,,,,,Cutting,50 mm,,Plano Convex,532 nm,,<50 W,AR 532 nm,,,,,,,,,,,,,,With Mount,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RAYTOOL-BM114-FUSED-SILICA-FOCUS-LENSES,Raytool BM114 Fused Silica Focus Lenses,raytool-bm114-fused-silica-focus-lenses,focus-lenses,,SPARE_PART,,,Fused Silica,,,,,,Cutting,50 mm,,Plano Convex,532 nm,,<50 W,AR 532 nm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WSX-NC30-COLLIMATING-FOCUS-LENSES,WSX NC30 Collimating Focus Lenses,wsx-nc30-collimating-focus-lenses,focus-lenses,,SPARE_PART,,,Fused Silica,,,,,,Cutting,50 mm,,Plano Convex,532 nm,,<50 W,AR 532 nm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WSX-NC63-COLLIMATION-FOCUS-LENSES,WSX NC63 Collimation Focus Lenses,wsx-nc63-collimation-focus-lenses,focus-lenses,,SPARE_PART,,,Fused Silica,,,,,,Cutting,50 mm,,Plano Convex,532 nm,,<50 W,AR 532 nm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RAYTOOLS-ORIGINAL-BM110-FOCUS-LENSES,RayTools Original BM110 Focus Lenses,raytools-original-bm110-focus-lenses,focus-lenses,,SPARE_PART,,,Fused Silica,,,,,,"Scanning, Cutting",50 mm,,Plano Convex,532 nm,,<50 W,AR 532 nm,,,,,,,,,,,,,,With Mount,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOCI-BLT-310-COLLIMATING-FOCUS-LENSES,BOCI BLT 310 Collimating Focus Lenses,boci-blt-310-collimating-focus-lenses,focus-lenses,,SPARE_PART,,,Fused Silica,,,,,,Cutting,50 mm,,Plano Convex,532 nm,,>1000 W,AR 532 nm,,,,,,,,,,,,,,With Mount,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RAYTOOLS-ORIGINAL-BM111-FOCUSING-COLLIMATING-FOCUS-LENSES,RayTools Original BM111 Focusing Collimating Focus Lenses,raytools-original-bm111-focusing-collimating-focus-lenses,focus-lenses,,SPARE_PART,,,Fused Silica,,,,,,Cutting,50 mm,,Plano Convex,532 nm,,<50 W,AR 532 nm,,,,,,,,,,,,,,With Mount,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CO2-LASER-FOCUS-LENSES,Co2 Laser Focus Lenses,co2-laser-focus-lenses,focus-lenses,,SPARE_PART,"A CO2 Laser Focus Lens is a crucial optical component that converges a diverging CO2 laser beam (10.6µm wavelength) into a tiny, high-intensity spot for precise material processing like cutting, engraving, and marking.","A CO2 Laser Focus Lens is a crucial optical component that converges a diverging CO2 laser beam (10.6µm wavelength) into a tiny, high-intensity spot for precise material processing like cutting, engraving, and marking. Made from materials like Zinc Selenide (ZnSe) and coated to reduce reflection, its key feature is focal length, the distance from the lens to the concentrated point, which determines the spot size and depth of focus, requiring different lenses for thin versus thick materials.",ZnSe,,,,,,CO2 Cutting,50.8 mm,12.7 mm,Plano Convex,,,,AR 10.6 µm,,,,,,,,,,,,,,Lens Only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSPRI-LC808-FOCUS-LENSES,OSPRI LC808 Focus Lenses,ospri-lc808-focus-lenses,focus-lenses,,SPARE_PART,,,Fused Silica,,,,,,"Cutting, Welding",50 mm,,Plano Convex,532 nm,,50–200 W,,,,,,,,,,,,,,,With Mount,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RAYTOOL-BM115-PLANO-FOCUS-LENSES,Raytool BM115 Plano Focus Lenses,raytool-bm115-plano-focus-lenses,focus-lenses,,SPARE_PART,,,Fused Silica,,,,,,Cutting,50 mm,,Plano Convex,532 nm,,<50 W,AR 532 nm,,,,,,,,,,,,,,With Mount,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BODOR-LASER-FOCUS-LENS,Bodor Laser Focus Lens,bodor-laser-focus-lens,focusing-lens,bodor,SPARE_PART,"We can deliver BODOR Focusing lens for laser cutting machine all across india A Bodor laser focus lens is a high-purity, fused silica optical component for Bodor fiber laser cutters, designed to precisely converge the laser beam for efficient cutting, offering high thermal stability, durability, and specific focal lengths (e.g., 150mm, 200mm) for various materials, featuring plano-convex shape for focused energy, ensuring high cutting quality","We can deliver BODOR Focusing lens for laser cutting machine all across india A Bodor laser focus lens is a high-purity, fused silica optical component for Bodor fiber laser cutters, designed to precisely converge the laser beam for efficient cutting, offering high thermal stability, durability, and specific focal lengths (e.g., 150mm, 200mm) for various materials, featuring plano-convex shape for focused energy, ensuring high cutting quality",Glass,BODOR,Laser cutting machine,,,,,,30mm,,,,,,"Concave, Convex",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8KW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMADA-LASER-CUTTING-NOZZLE,Amada Laser Cutting Nozzle,amada-laser-cutting-nozzle,focusing-lens,amada-lens-assembly,SPARE_PART,We can provide Amanda Laser cutting nozzle at a very economical rate all across india for laser cutting machines,We can provide Amanda Laser cutting nozzle at a very economical rate all across india for laser cutting machines,Glass,Amada lens assembly,laser cutting,,,Made in India,,AX focus,,,532 nm,,,,"Concave, Convex",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAZAK-3D-LASER-HEAD-ASSEMBLY-PARTS,Mazak 3d Laser Head Assembly Parts,mazak-3d-laser-head-assembly-parts,inner-outer-cone,mazak,SPARE_PART,We can provide Mazak 3D laser head assembly parts at a very economical rate all across india for laser cutting machines,We can provide Mazak 3D laser head assembly parts at a very economical rate all across india for laser cutting machines,Aluminium,Mazak,laser cutting,co2 & fiber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000 W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I-3501-DNE-INSULATION-RING,I 3501 DNE Insulation Ring,i-3501-dne-insulation-ring,insulation-ring,,SPARE_PART,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 mm,,,10 mm,,,,Flat Copper Ring,,,,4 mm,,,,,,,,,,,,,,,,Bare Copper,Half Hard,ETP Copper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I-2500-DNE-INSULATION-RING,I 2500 DNE Insulation Ring,i-2500-dne-insulation-ring,insulation-ring,raytools,SPARE_PART,,,,Raytools,,DNE Insulation Ring I 2500,,Made in India,,,,,,Ring,,,,,,,,,,,,,6000 mm/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I-2700-DNE-INSULATION-RING,I 2700 DNE Insulation Ring,i-2700-dne-insulation-ring,insulation-ring,raytools,SPARE_PART,,,,Raytools,,DNE Insulation Ring I 2700,,Made in India,,,,,,Ring,,,,,,,,,,,,,6000 mm/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I-0502-DNE-INSULATION-RING,I 0502 DNE Insulation Ring,i-0502-dne-insulation-ring,insulation-ring,,SPARE_PART,,,Nitrile NBR,,,,,,,,,,,,,,PTFE Ring,,,,,,,,,,,1 mm,,,10 mm,,,,Sealing Ring,,,,4 mm,,,,,,Valve,,,,,,,,,,Tinned Copper,Soft,ETP Copper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
